2021-03-25 00:00:02.597984===============매도 전 잔고===============
2021-03-26 06:24:00.862984{'currency': 'WAVES', 'balance': '0.65789473', 'locked': '0.0', 'avg_buy_price': '15200', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863030{'currency': 'STPT', 'balance': '102.04081632', 'locked': '0.0', 'avg_buy_price': '98.7', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863077{'currency': 'HIVE', 'balance': '15.82278481', 'locked': '0.0', 'avg_buy_price': '631', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863139{'currency': 'META', 'balance': '43.47826086', 'locked': '0.0', 'avg_buy_price': '230', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863182{'currency': 'EMC2', 'balance': '56.26157278', 'locked': '0.0', 'avg_buy_price': '355.48', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863225{'currency': 'SAND', 'balance': '13.6425648', 'locked': '0.0', 'avg_buy_price': '733', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863264{'currency': 'MED', 'balance': '100.0', 'locked': '0.0', 'avg_buy_price': '100', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863310{'currency': 'QTCON', 'balance': '96.15384615', 'locked': '0.0', 'avg_buy_price': '104', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863351{'currency': 'AHT', 'balance': '416.66666666', 'locked': '0.0', 'avg_buy_price': '24.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863404{'currency': 'SSX', 'balance': '63.69426751', 'locked': '0.0', 'avg_buy_price': '157', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863449{'currency': 'DOGE', 'balance': '151.51515151', 'locked': '0.0', 'avg_buy_price': '66.8', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863493{'currency': 'ZIL', 'balance': '47.16981132', 'locked': '0.0', 'avg_buy_price': '212', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863536{'currency': 'WAXP', 'balance': '70.93625798', 'locked': '0.0', 'avg_buy_price': '281.45', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863606{'currency': 'SPND', 'balance': '109.89010989', 'locked': '0.0', 'avg_buy_price': '91', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863660{'currency': 'KNC', 'balance': '3.36700336', 'locked': '0.0', 'avg_buy_price': '2970', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863720{'currency': 'ANKR', 'balance': '84.03361344', 'locked': '0.0', 'avg_buy_price': '119', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863762{'currency': 'HUM', 'balance': '75.18796992', 'locked': '0.0', 'avg_buy_price': '133', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863803{'currency': 'ORBS', 'balance': '38.61003861', 'locked': '0.0', 'avg_buy_price': '259', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863843{'currency': 'NPXS', 'balance': '1250.0', 'locked': '0.0', 'avg_buy_price': '8.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863904{'currency': 'IOST', 'balance': '163.93442622', 'locked': '0.0', 'avg_buy_price': '61.1', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.863951{'currency': 'ADX', 'balance': '7.54716981', 'locked': '0.0', 'avg_buy_price': '1325', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864003{'currency': 'MOC', 'balance': '40.98360655', 'locked': '0.0', 'avg_buy_price': '244', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864046{'currency': 'IQ', 'balance': '333.33333333', 'locked': '0.0', 'avg_buy_price': '30', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864107{'currency': 'ONT', 'balance': '6.34920634', 'locked': '0.0', 'avg_buy_price': '1575', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864158{'currency': 'MVL', 'balance': '161.29032258', 'locked': '0.0', 'avg_buy_price': '62.7', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864207{'currency': 'TRX', 'balance': '136.98630136', 'locked': '0.0', 'avg_buy_price': '73.8', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864257{'currency': 'ZRX', 'balance': '5.18134715', 'locked': '0.0', 'avg_buy_price': '1925', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864308{'currency': 'IGNIS', 'balance': '55.55555555', 'locked': '0.0', 'avg_buy_price': '180', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864360{'currency': 'KMD', 'balance': '4.30107526', 'locked': '0.0', 'avg_buy_price': '2315', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864409{'currency': 'VET', 'balance': '92.59259259', 'locked': '0.0', 'avg_buy_price': '108', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864459{'currency': 'STMX', 'balance': '136.98630136', 'locked': '0.0', 'avg_buy_price': '73', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864509{'currency': 'RFR', 'balance': '294.11764705', 'locked': '0.0', 'avg_buy_price': '34.4', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864617{'currency': 'LBC', 'balance': '31.34796238', 'locked': '0.0', 'avg_buy_price': '319', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864669{'currency': 'LTC', 'balance': '0.04286326', 'locked': '0.0', 'avg_buy_price': '233300', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864719{'currency': 'CVC', 'balance': '16.3132137', 'locked': '0.0', 'avg_buy_price': '613', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864768{'currency': 'HBAR', 'balance': '25.18891687', 'locked': '0.0', 'avg_buy_price': '397', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864816{'currency': 'ARK', 'balance': '4.79616306', 'locked': '0.0', 'avg_buy_price': '2085', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864935{'currency': 'NEO', 'balance': '0.19692792', 'locked': '0.0', 'avg_buy_price': '50780', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.864994{'currency': 'XTZ', 'balance': '2.0', 'locked': '0.0', 'avg_buy_price': '5000', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:24:00.865055{'currency': 'ICX', 'balance': '4.34782608', 'locked': '0.0', 'avg_buy_price': '2300', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
매도 후 잔고
2021-03-26 06:24:04.426183{'currency': 'KRW', 'balance': '487910.59693271', 'locked': '0.0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}
2021-03-26 06:48:04.637498===============매도 전 잔고===============
2021-03-26 06:48:05.100263{'currency': 'KRW', 'balance': '477905.59693306', 'locked': '0.0', 'avg_buy_price': '0', 'avg_buy_price_modified': True, 'unit_currency': 'KRW'}
2021-03-26 06:48:05.100568{'currency': 'XRP', 'balance': '15.50387596', 'locked': '0.0', 'avg_buy_price': '645', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:05.546657{'currency': 'MFT', 'balance': '370.37037037', 'locked': '0.0', 'avg_buy_price': '27.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:06.069673{'currency': 'CHZ', 'balance': '30.69927433', 'locked': '0.0', 'avg_buy_price': '651.48', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:06.561019{'currency': 'PCI', 'balance': '4.00801603', 'locked': '0.0', 'avg_buy_price': '2490', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:07.111153{'currency': 'TFUEL', 'balance': '20.5338809', 'locked': '0.0', 'avg_buy_price': '487', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:07.583732{'currency': 'WAVES', 'balance': '0.65789473', 'locked': '0.0', 'avg_buy_price': '15200', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:08.097649{'currency': 'STPT', 'balance': '102.04081632', 'locked': '0.0', 'avg_buy_price': '98.7', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:08.591483{'currency': 'HIVE', 'balance': '15.82278481', 'locked': '0.0', 'avg_buy_price': '631', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:09.096858{'currency': 'META', 'balance': '43.47826086', 'locked': '0.0', 'avg_buy_price': '230', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:09.608367{'currency': 'EMC2', 'balance': '56.26157278', 'locked': '0.0', 'avg_buy_price': '355.48', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:10.157981{'currency': 'SAND', 'balance': '13.6425648', 'locked': '0.0', 'avg_buy_price': '733', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:10.610557{'currency': 'MED', 'balance': '100.0', 'locked': '0.0', 'avg_buy_price': '100', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:11.079861{'currency': 'QTCON', 'balance': '96.15384615', 'locked': '0.0', 'avg_buy_price': '104', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:11.525548{'currency': 'AHT', 'balance': '416.66666666', 'locked': '0.0', 'avg_buy_price': '24.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:12.001252{'currency': 'SSX', 'balance': '128.21039654', 'locked': '0.0', 'avg_buy_price': '155.99', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:12.456851{'currency': 'DOGE', 'balance': '151.51515151', 'locked': '0.0', 'avg_buy_price': '66.8', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:12.915662{'currency': 'ZIL', 'balance': '47.16981132', 'locked': '0.0', 'avg_buy_price': '212', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:13.353909{'currency': 'WAXP', 'balance': '70.93625798', 'locked': '0.0', 'avg_buy_price': '281.45', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:13.792885{'currency': 'SPND', 'balance': '109.89010989', 'locked': '0.0', 'avg_buy_price': '91', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:14.234783{'currency': 'KNC', 'balance': '3.36700336', 'locked': '0.0', 'avg_buy_price': '2970', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:14.676642{'currency': 'ANKR', 'balance': '84.03361344', 'locked': '0.0', 'avg_buy_price': '119', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:15.149594{'currency': 'HUM', 'balance': '75.18796992', 'locked': '0.0', 'avg_buy_price': '133', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:15.588653{'currency': 'ORBS', 'balance': '38.61003861', 'locked': '0.0', 'avg_buy_price': '259', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:16.035020{'currency': 'NPXS', 'balance': '1250.0', 'locked': '0.0', 'avg_buy_price': '8.3', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:16.494591{'currency': 'IOST', 'balance': '163.93442622', 'locked': '0.0', 'avg_buy_price': '61.1', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
2021-03-26 06:48:16.964623{'currency': 'ADX', 'balance': '7.54716981', 'locked': '0.0', 'avg_buy_price': '1325', 'avg_buy_price_modified': False, 'unit_currency': 'KRW'}
