2021-03-22 07:23:17.567145{'uuid': '62ee1b6c-e80e-48fc-b3b3-668920d0290a', 'side': 'bid', 'ord_type': 'limit', 'price': '117.0', 'state': 'wait', 'market': 'KRW-MED', 'created_at': '2021-03-22T16:23:17+09:00', 'volume': '854.7008547', 'remaining_volume': '854.7008547', 'reserved_fee': '49.99999999995', 'remaining_fee': '49.99999999995', 'paid_fee': '0.0', 'locked': '100049.99999989995', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 00:01:38.477053{'uuid': 'f05eeb15-2382-4936-9176-89c3455351fa', 'side': 'bid', 'ord_type': 'limit', 'price': '62.7', 'state': 'wait', 'market': 'KRW-MVL', 'created_at': '2021-03-23T09:01:38+09:00', 'volume': '1612.9032258', 'remaining_volume': '1612.9032258', 'reserved_fee': '50.56451612883', 'remaining_fee': '50.56451612883', 'paid_fee': '0.0', 'locked': '101179.59677378883', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 00:03:12.897902{'uuid': '396652f0-54b0-45d5-aca3-d15873b62cce', 'side': 'bid', 'ord_type': 'limit', 'price': '62.7', 'state': 'wait', 'market': 'KRW-MVL', 'created_at': '2021-03-23T09:03:12+09:00', 'volume': '1612.9032258', 'remaining_volume': '1612.9032258', 'reserved_fee': '50.56451612883', 'remaining_fee': '50.56451612883', 'paid_fee': '0.0', 'locked': '101179.59677378883', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 00:37:33.299853{'uuid': '66349fa8-650a-4565-80ea-6134e99a76b7', 'side': 'bid', 'ord_type': 'limit', 'price': '112.0', 'state': 'wait', 'market': 'KRW-MED', 'created_at': '2021-03-23T09:37:33+09:00', 'volume': '892.85714285', 'remaining_volume': '892.85714285', 'reserved_fee': '49.9999999996', 'remaining_fee': '49.9999999996', 'paid_fee': '0.0', 'locked': '100049.9999991996', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 02:14:48.733547{'uuid': '452580e7-ecda-49ca-8cba-e0c4f5ca01b4', 'side': 'bid', 'ord_type': 'limit', 'price': '41150.0', 'state': 'wait', 'market': 'KRW-BCHA', 'created_at': '2021-03-23T11:14:48+09:00', 'volume': '2.43013365', 'remaining_volume': '2.43013365', 'reserved_fee': '49.99999984875', 'remaining_fee': '49.99999984875', 'paid_fee': '0.0', 'locked': '100049.99969734875', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 02:21:17.100404{'uuid': '7de1b51b-7012-469c-97d6-f256656b8a28', 'side': 'bid', 'ord_type': 'limit', 'price': '41750.0', 'state': 'wait', 'market': 'KRW-BTG', 'created_at': '2021-03-23T11:21:17+09:00', 'volume': '2.39520958', 'remaining_volume': '2.39520958', 'reserved_fee': '49.9999999825', 'remaining_fee': '49.9999999825', 'paid_fee': '0.0', 'locked': '100049.9999649825', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 13:35:53.083921{'uuid': 'e43210b3-9b1d-4eed-81a3-f9384a2fe232', 'side': 'bid', 'ord_type': 'limit', 'price': '41750.0', 'state': 'wait', 'market': 'KRW-BTG', 'created_at': '2021-03-23T22:35:53+09:00', 'volume': '2.39520958', 'remaining_volume': '2.39520958', 'reserved_fee': '49.9999999825', 'remaining_fee': '49.9999999825', 'paid_fee': '0.0', 'locked': '100049.9999649825', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 13:44:52.846314{'uuid': 'ab8cc7fa-a28a-4330-b64a-8fc81a04575f', 'side': 'bid', 'ord_type': 'limit', 'price': '41150.0', 'state': 'wait', 'market': 'KRW-BCHA', 'created_at': '2021-03-23T22:44:52+09:00', 'volume': '2.43013365', 'remaining_volume': '2.43013365', 'reserved_fee': '49.99999984875', 'remaining_fee': '49.99999984875', 'paid_fee': '0.0', 'locked': '100049.99969734875', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-23 16:35:36.870914{'error': {'message': '주문가능한 금액(KRW)이 부족합니다.', 'name': 'insufficient_funds_bid'}}
2021-03-24 10:39:23.510939{'error': {'message': '최소주문금액 이상으로 주문해주세요', 'name': 'under_min_total_bid'}}
2021-03-24 10:50:04.611010{'uuid': 'e2d6f237-f3bc-454b-8c1a-14d16a579cb1', 'side': 'bid', 'ord_type': 'limit', 'price': '233300.0', 'state': 'wait', 'market': 'KRW-LTC', 'created_at': '2021-03-24T19:50:04+09:00', 'volume': '0.04286326', 'remaining_volume': '0.04286326', 'reserved_fee': '4.999999279', 'remaining_fee': '4.999999279', 'paid_fee': '0.0', 'locked': '10004.998557279', 'executed_volume': '0.0', 'trades_count': 0}
2021-03-24 10:50:11.504252{'uuid': '01cb2d7f-72d5-4726-ab59-7d7d1846c0bf', 'side': 'bid', 'ord_type': 'limit', 'price': '319.0', 'state': 'wait', 'market': 'KRW-LBC', 'created_at': '2021-03-24T19:50:11+09:00', 'volume': '31.34796238', 'remaining_volume': '31.34796238', 'reserved_fee': '4.99999999961', 'remaining_fee': '4.99999999961', 'paid_fee': '0.0', 'locked': '10004.99999921961', 'executed_volume': '0.0', 'trades_count': 0}
